z_cluster,z_minScore,z_maxScore,id,fname,lname,stNo,add1,add2,city,state,dob,ssn
502,"","",37013100,dylan,weetra,39,ferdinand street,diamond place,munno para,2627,vic,19880507
1921,"","",37418100,jessica,mierisch,1,mctaggart crescent,burnside,doolandella,4053,nsw,19660309
2088,0.49407721369383845,0.49407721369383845,540100,kaitlin,mcfadden,"",ampt place,inverglen,toowoomba,3555,vic,19240214
2583,0.9768107949989467,0.9877726362494229,687100,jack,klemm,34,bardsley place,antanoff' south,dungog,4340,vic,19000226
3382,"","",37844100,timothy,rees,"",kemsley place,balamba,annandale,5042,nsw,19250113
3680,"","",74741100,braedon,efthimiou,10,horbury street,five oaks,wanneroo,5126,tas,19350915
3869,"","",74798100,asha,wiseman,6,thake place,hillandale,greenwood,3073,nsw,19360417
4872,0.9120643604052895,0.9573594607880812,1320100,madison,de rijk,38,tillyard drive,narla vlge,cherrybrook,2548,qld,19520703
6130,"","",38610100,kieren,revie,24,antill street,brentwood village,campsie,2565,nsw,19861120
6225,"","",1699100,renee,blewett,13,le gallienne street,callamonda,rosebud,4226,wa,19420731
7032,"","",1927100,alisa,inall,12,grylls crescent,kootingal,summer hill,3044,vic,19580531
7234,"","",38929100,nathan,darch,61,dalrymple street,shopping centre,bittern,4207,tas,19611204
7637,"","",75854100,madeline,tichelaar,15,lorimer place,peak view,parramatta,2148,sa,19790311
8846,"","",76200100,rachel,ollivier,19,wilkins street,lucky corner,potts point,2230,qld,19440530
10067,0.9927904021198166,0.9927904021198166,76537101,oliver,sherriff,46,millpost close,parkland motor village,jerrabomberra,3038,nsw,19461210
10622,"","",76683100,jarrod,trevan,8,toomey place,midlands terrace,eastwood,2448,vic,19410719
3698,0.8410653741925366,0.8410653741925366,76916100,lachlan,bartel,76,harbison crescent,aptmn 12,corio,3168,vic,19581225
11943,"","",3306100,lushia,millar,170,boolee street,garden creek,maryborough,4012,qld,19940217
12164,"","",77118100,talia,clarke,36,staaten crescent,wurtulla shopping vlge,bayswater,7004,qld,19690424
12596,0.5275023634287719,0.5275023634287719,77240100,isaac,rocha,38,dawes street,serenity,currambine,2259,qld,19880223
12889,"","",40467100,brooke,gazzola,2,aland place,"",allora,4701,nsw,19470127
13058,"","",77368100,joel,brock,3,goyder street,upton,north ryde,3087,vic,19880116
13551,"","",3742100,sophie,smallacombe,32,bernacchi street,chateau tahbilk,albion park rail,2540,vic,19600307
13871,0.4827185615086181,0.4827185615086181,77598100,georgia,campbell,5,light street,coorrabin,balcatta,2146,wa,""
14158,"","",40812100,ryan,reid,38,darwinia terrace,wildefell,tanja,7112,vic,19900730
14415,0.9942819304487751,0.9942819304487751,3971100,bailey,felten,21,gardiner street,marx garden world,cremorne,3127,qld,19020607
14794,0.5640165079851962,0.5640165079851962,40985100,ryan,subaj,16,callabonna street,trewilga,noble park,2066,sa,19510120
2930,0.9642724877282782,0.9642724877282782,41200100,alexandra,green,54,harbison crescent,oliwen,peakhurst,4132,qld,19900714
15993,"","",4412100,lara,mansford,"",boronia drive,isabella est,hahndorf,2605,nsw,19850509
16404,"","",4520100,angus,blowes,131,steffanoni circuit,state bank arcade,annandale,5162,wa,19670312
3431,0.41489804358264826,0.9864275230154704,41620100,antonio,kammermann,1,sexton street,"",toukley,2430,vic,19560528
18788,"","",78969100,jessica,muenchow,75,balonne street,fiveways,newstead,3020,nsw,19660521
19699,0.9444769634292696,0.9777071612280345,42318101,james,de michele,13,madigan street,arcaia,currsjong,4807,vic,19471202
20166,"","",5545100,erin,boyle,56,erldunda circuit,racecourse,belmont north,3095,qld,19680310
20507,0.43399073207965844,0.4742999368567692,79436100,leon,hefford,145,mortlock circuit,"",rostrevor,6103,qld,19681119
21232,"","",42749100,natalie,painter,54,fincham crescent,pine hill,joondalup,3150,vic,19570901
22350,"","",6112100,hayley,morrison,55,currong street,mountview,broadbeach waters,3047,nsw,19630530
22622,"","",80029104,harry,blackwell,183,medical centre,collingridge street,ascot,2713,vic,19441226
23643,"","",6456100,"",inall,15,tana place,buskett homestead,eatons hill,2170,vic,19731029
24471,"","",6685100,kane,vincent,3,lambrigg street,coraleigh,beenleigh,2088,nsw,19020304
25771,"","",44033100,nicholas,bloomfield,65,quamby place,yaroonga,san remo,6055,qld,19081205
27105,"","",7418100,charlotte,paterson,12,boucaut place,belvedere,manunda,2428,vic,19660625
27142,0.9134191442361308,0.9134191442361308,44425100,kiara,toms,59,burkitt street,tiverton,hope valley,6157,nt,19161127
28024,0.41365659768606816,0.42427507087726335,44678100,hugo,trent,27,mackenzie street,"",willetton,3046,qld,19340719
1534,0.9658710634157666,0.9952227536000962,81689100,yana,dreyer,546,ewing street,cooralook,wanneroo,2340,vic,19320420
28565,"","",81705100,dean,mccarthy,32,corroboree park,balandry,pemberton,4551,sa,19080809
29789,"","",82069100,chelsea,van galen,148,onslow street,lillydale,bargara,3220,wa,19620303
30070,"","",45233100,sean,dixon,8,jerrabomberra avenue,toombimba,beverly hills,5345,vic,19230404
30166,"","",45261100,thomas,stitz,21,twamley crescent,glenbrae,muchea,3038,vic,19810404
30678,"","",8396100,andrea,weidenhofer,99,gang gang court,port hills,drysdale,3124,vic,19800913
31113,"","",8522100,holly,dietrich,21,neales street,homevale,hoppers crossing,6566,wa,19410726
31119,"","",8524100,gus,roebuck,4,leichhardt street,qunaba,ferndale,3356,nsw,19330618
31382,"","",82520100,benjamin,zomer,17,tumbleton place,marjidin,lismore,2162,nsw,19980505
27465,0.4184588674635211,0.4184588674635211,45689100,matthew,deakin,20,kirwan circuit,"",st kilda east,6163,sa,19361203
33492,"","",9194100,amelia,vincent,13,chandler street,westleigh,woy woy,2304,wa,19310918
34564,"","",46499100,lauren,morrison,32,van praag place,wirreanda vlge,petrie,6169,sa,19500916
34668,0.8836925319182917,0.9878800139951298,9534101,nichloas,awarau,246,fitzalan street,argy le,moranbah,2282,wa,19260127
74,0.8231774618198153,0.8231774618198153,46621100,cooper,nguyen,1,newman morris circuit,ptswrth,port macquarie,2096,vic,19161102
