z_cluster,z_minScore,z_maxScore,id,fname,lname,stNo,add1,add2,city,state,dob,ssn
78528,"","",21723100,abbey,paterson,12,waite street,ramleigh collington,thornlie,4650,nsw,19490703
96897,"","",26810103,madsison,hick,42,wrenfordsley place,"",goodna,5061,nsw,19190606
36384,"","",10010100,emiily,stanley,87,summerland circuit,larook,munruben,3182,nsw,19790531
5543,0.8934978706316836,0.8934978706316836,27944100,michael,nicoll,"",dooland court,urunga caravn park,thornbury,2151,vic,19370627
4782,1.0,1.0,1292102,"",waller,8,harris street,nerriga,somerset,2093,sa,19340619
974,0.40466079520713016,0.9940497520001842,7410101,aliec,matthees,25,"",st frances vlge,"",2048,qld,19670212
56094,"","",15454100,madeline,doy,8,pridham street,bulbudgeree cottage,deniliquin,3888,nsw,19900827
49842,"","",13765100,devan,nguyen,17,damala street,adelaide dental hospital,old toongabbie,6025,wa,19300322
97461,"","",26964100,blaize,hamers,14,cumpston place,myross,albury,2232,wa,19010524
73467,"","",20323100,joshua,steers,102,scarfe close,knackery rhs,wooli,5575,nsw,19440717
111492,"","",30861100,jamie,thurlow,38,white crescent,mt warrigal retrmnt vlge,carrara,3225,nsw,19720914
75513,"","",20894100,aleesha,white,3,jarvis place,berkeley vlge,shoalwater,2227,vic,19030811
37629,"","",10361100,joshua,webb,107,herschell circuit,larra pines,elwood,3138,vic,19080924
4929,"","",1337100,sophie,reid,4,disney court,ainslie house,leeton,5082,sa,19391223
45852,"","",12642100,sophie,toms,2,lowanna street,allenga downs,cashmere,4814,vic,19701031
5631,0.9853009620318703,0.9925692031902092,1528100,abbey,rawlings,10,lewin street,"",wattle park,6012,nsw,19180930
90384,"","",24983100,nicholas,doody,51,williamson street,culburra retrmnt vlge,eden,2705,nsw,19500915
47880,"","",13211100,timara,klemm,16,gardiner street,carrington retrmnt vlge,benowa,6102,vic,19740427
69051,0.8507680285648278,1.0,19101101,kelesa,coleman,3,namoi place,oakdale,upper coomera,2164,qld,19821004
59460,"","",16392100,annabel,leslie,31,sharp place,gillin park,taralga,2151,qld,19160809
81444,"","",22517100,lewis,dent,31,mccubbin street,eden park,st clair,3184,vic,19270611
87273,"","",24119100,lucy,hyland,22,gymkhana road,"",toowoomba,2790,nsw,19040816
51453,0.979976692258051,0.9837487970027552,14207101,jesckhe,amber,"",powlett street,aprt 101,moranbkh,7010,sa,19810323
24705,"","",6750100,lachlan,clarke,2,hampton circuit,the family practice at k-mart plaza,mackay north,2463,nsw,19890918
87414,"","",24156100,adela,egan,40,medley street,redwood village,mount helen,2304,nsw,19010528
23607,"","",6448102,joshua,leslie,"",kurria place,ainslie huose,frenchs forest,2161,vic,19111130
24858,0.8516807890003301,0.8516807890003301,6801100,aurora,nguyen,742,southside motor park,riversdale caravan park,willetton,2428,qld,19420815
15195,"","",4176100,joshua,tschirpig,261,gilmore crescent,the lagoon,cairns,2261,qld,19890124
107319,"","",29700100,brandon,holasek,6,eungella street,"",petersham,4014,vic,19190124
7329,"","",2015100,dillon,matthews,6,barney street,moondah,cooloongup,2113,nsw,""
14481,"","",3990100,lewis,winfield,8,macdowell street,waiweer,cremorne,2761,sa,""
120408,"","",33335100,timara,lewkowicz,10,reader court,"",robina,2350,tas,19341029
103281,"","",28555100,wilson,white,10,grigg place,cedarview,thornlands,4817,wa,19431224
7614,"","",2102100,alisha,bishop,50,banfield street,wiangaree,kilcoy,2500,qld,19341128
25056,"","",6860100,ethan,reid,2,lexcen avenue,rosetta village,ulverstone,2145,vic,19130130
123348,0.800434613464819,0.9837922847280443,34159101,travkis,donaldson,54,sterryplace,mon kani,toogoom,3175,qld,19630121
17976,"","",4941100,caitlin,webb,19,charterisville avenue,clarence village,towradgi,2536,sa,19900125
36513,0.7729622589722125,0.976282621445611,10050103,stephen,jesaser,29,upton srteet,eureka,emehald,6052,qld,19130421
5889,"","",1604100,jayden,brain,613,"",nanjomara,maryborough,5307,tas,19480205
20508,"","",5638100,victoria,ryan,5,allan street,toorale,revesby,4655,nsw,19110822
27738,"","",7595100,chloe,white,39,gibbes place,house 16 pandanus park,parkside,2831,wa,19960519
